case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
H,metro station,shortest_path,shortest_path,3,1813,92,177.4,67.36,95.4,87.5,67,95.7
H,metro station,shortest_path,shortest_path,4,1814,92,232.8,90.74,94.72,114.8,72,95.7
H,metro station,shortest_path,shortest_path,5,1815,92,236.8,101.14,69.76,117.2,67,95.7
H,metro station,shortest_path,shortest_path,6,1816,92,162.8,73.6,64.36,80.0,69,95.7
H,metro station,shortest_path,shortest_path,7,1817,92,422.4,90.02,150.04,209.8,73,95.7
H,metro station,shortest_path,shortest_path,8,1818,92,211.4,102.0,99.28,104.1,72,95.7
H,metro station,shortest_path,shortest_path,9,1819,92,239.2,91.08,124.0,118.4,75,95.7
H,metro station,shortest_path,shortest_path,10,1820,92,405.0,92.46,130.0,201.4,73,95.7
H,metro station,random_routing,stochastic,1,1821,92,57.0,50.16,28.12,28.3,94,57.6
H,metro station,random_routing,stochastic,2,1822,92,61.6,54.8,28.28,32.6,89,66.3
H,metro station,random_routing,stochastic,3,1823,92,56.8,43.88,28.48,29.1,95,59.8
H,metro station,random_routing,stochastic,4,1824,92,66.2,55.36,26.4,32.6,93,72.8
H,metro station,random_routing,stochastic,5,1825,92,53.6,46.08,23.48,25.6,96,51.1
H,metro station,random_routing,stochastic,6,1826,92,56.4,51.42,28.04,28.7,94,58.7
H,metro station,random_routing,stochastic,7,1827,92,69.0,54.72,28.64,33.7,101,70.7
H,metro station,random_routing,stochastic,8,1828,92,53.8,49.52,25.4,25.9,100,57.6
H,metro station,random_routing,stochastic,9,1829,92,49.0,44.46,25.72,26.0,91,52.2
H,metro station,random_routing,stochastic,10,1830,92,55.6,42.0,23.88,26.9,101,50.0
H,metro station,density_aware,least_crowded,1,1831,92,79.8,42.7,34.68,40.6,79,84.8
H,metro station,density_aware,least_crowded,2,1832,92,64.6,45.52,28.56,31.6,80,80.4
H,metro station,density_aware,least_crowded,3,1833,92,117.6,43.38,28.28,57.1,72,95.7
H,metro station,density_aware,least_crowded,4,1834,92,71.6,46.6,32.16,37.4,89,82.6
H,metro station,density_aware,least_crowded,5,1835,92,75.2,58.0,36.24,37.0,77,87.0
H,metro station,density_aware,least_crowded,6,1836,92,86.2,40.38,26.68,42.4,82,84.8
H,metro station,density_aware,least_crowded,7,1837,92,77.0,55.5,34.2,40.4,75,87.0
H,metro station,density_aware,least_crowded,8,1838,92,48.2,40.6,28.8,23.1,77,63.0
H,metro station,density_aware,least_crowded,9,1839,92,78.0,56.6,39.08,37.6,74,88.0
H,metro station,density_aware,least_crowded,10,1840,92,100.4,45.96,35.96,52.7,76,90.2
H,metro station,peopleflow_guided,guided,1,1841,92,134.6,100.4,84.56,67.5,115,60.9
H,metro station,peopleflow_guided,guided,2,1842,92,183.6,135.76,134.92,90.7,120,67.4
H,metro station,peopleflow_guided,guided,3,1843,92,181.8,156.92,135.44,93.8,119,70.7
H,metro station,peopleflow_guided,guided,4,1844,92,172.0,124.62,143.2,89.2,111,65.2
H,metro station,peopleflow_guided,guided,5,1845,92,165.0,140.6,149.64,82.7,106,60.9
H,metro station,peopleflow_guided,guided,6,1846,92,163.4,140.5,145.08,84.4,120,60.9
H,metro station,peopleflow_guided,guided,7,1847,92,160.2,137.72,121.92,82.0,121,57.6
H,metro station,peopleflow_guided,guided,8,1848,92,192.2,125.7,142.24,98.4,109,69.6
H,metro station,peopleflow_guided,guided,9,1849,92,153.4,125.8,129.52,80.8,116,55.4
H,metro station,peopleflow_guided,guided,10,1850,92,193.6,162.5,151.0,100.4,110,71.7
